id,gen,smile,source,score
AAYA,0,O=C(C#Cc1ccc(F)cc1)N1CCCc2cc(Br)ccc21,generated,99.9
AAYF,0,COc1ccccc1CNS(=O)(=O)c1ccc2c(c1)CCC(=O)N2,training,99.9
AAYH,0,COc1ccc(C(=O)Nc2ccc(-c3ccccc3)nc2)cc1,generated,99.9
AAYK,0,COC(=O)C1CN(C(=O)NCc2ccc3c(c2)OCO3)CCN1C,generated,99.9
AAYM,0,Cc1cc(C(=O)Nc2ccc(F)c(C(F)(F)F)c2)c(C)n1C(C)C,generated,99.9
AAYO,0,COc1cccc(C(=O)N2CCCCC2CNS(C)(=O)=O)c1F,generated,99.9
AAYQ,0,Cc1nc(C)c(C(=O)NC(C)c2ccc(F)cc2)s1,generated,99.9
AAZH,0,CC(=O)NCCCC(=O)N1CCC(c2nc3ccccc3[nH]2)CC1,generated,99.9
AAZK,0,CCC1=Nc2sc3c(c21)CC(C(=O)N(C)C)CC3,generated,99.9
AAZL,0,COC(=O)c1cc(F)ccc1OCC(=O)NCc1ccccc1,generated,99.9
AAZW,0,COc1cc(C2CC(c3ccccc3)=NN2c2ccc(Cl)cc2)cc(OC)c1O,generated,99.9
ABAA,0,COc1ccccc1N1CCN(CCC(=O)NCc2ccco2)CC1,generated,99.9
ABAE,0,CC(=O)c1ccc(CNC(=O)Cc2ccc(N)cc2)cc1,generated,99.9
ABAH,0,COc1ccccc1OCC(=O)Nc1ccc(-c2n[nH]c3c2CCCC3)cc1,generated,99.9
ABAM,0,CCOC(=O)C1CCN(C(=O)c2cc(-c3c(C)noc3C)c(C)s2)CC1,generated,99.9
ABBR,0,O=C(O)C1(Cc2ccc3c(c2)OCO3)CCCCC1,generated,99.9
ABBY,0,CC(C)N1CC(C(=O)NC2CC2)CC1c1ccccc1F,generated,99.9
ABCX,0,COC(=O)c1ccc(C(=O)CC(=O)Nc2ccccc2OC)cc1,generated,99.9
ABCY,0,Cc1c(C(=O)N2CCOC(C)(C)C2)cnn1-c1ccncc1,training,99.9
ABCZ,0,COc1ccc2c(c1)C1(CCN(C(=O)COc3ccc(C(C)C)cc3)CC1)OCC2,generated,99.9
ABDQ,0,CC(C)(C)c1nc(CN(Cc2ccco2)CC2CCCO2)no1,generated,99.9
ABDY,0,c1ccc(-c2ccc(CN3CCCC3c3ccccc3)o2)cc1,generated,99.9
ABEE,0,CN(C)CCCCN1CCC(COC(=O)c2nn(CC3CCCCC3)c3ccccc23)CC1,generated,99.9
ABEO,0,Cc1ccc(OCc2nc(-c3ccccc3)no2)cc1S(C)(=O)=O,generated,99.9
ABEP,0,CC1=C(Cc2cccc(N3CCCC3)c2)C(=O)C(C)=C(c2ccccc2)C1=O,generated,99.9
ABET,0,COc1ccc(C(=O)c2c(C)nn(Cc3ccc(F)cc3)c2N)cc1OC,generated,99.9
ABEV,0,Cc1cccc(NC(=O)c2cccc(-c3ccoc3)c2)c1,generated,99.9
ABFF,0,CN(C)S(=O)(=O)c1cccc(C(=O)NCc2ccccc2)c1,training,99.9
ABFG,0,CC(C)C1C(=O)NCCN1Cc1ccc(-c2ccccc2)cc1,generated,99.9
ABGA,0,O=C(NCCC1CCCCC1)C1COc2ccc(F)cc2C1,generated,99.9
ABGE,0,O=C(CCc1ccc(Cl)cc1)N1CCC(c2noc(C3CC3)n2)CC1,generated,99.9
ABGN,0,Cc1ccc(-c2nc(C3CCN(C(=O)OC(C)(C)C)CC3)sc2C)s1,generated,99.9
ABHG,0,O=C(CCc1ccccc1)N1CCN(CCOc2ccccc2)CC1,generated,99.9
ABIF,0,CC1CCC(CN(C)C(=O)Cc2c(F)cccc2F)CC1,generated,99.9
ABIL,0,Cc1ccccc1NC(=O)C(C)OC(=O)Cc1c(C)noc1C,generated,99.9
ABJC,0,COc1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1OC,training,99.9
ABJL,0,COc1ccc(NC(=O)CCC(=O)Nc2nnc(C)s2)cc1OC,generated,99.9
ABKT,0,COc1ccc(C=CC(=O)NCCc2ccc(OCc3cccc(C(=O)O)c3)cc2)cc1,generated,99.9
ABLC,0,Cc1cc(Nc2ccc(Cl)c(C(=O)NCCO)c2)c2ccccc2n1,generated,99.9
ABLU,0,CCc1nnc(NC(=O)CCCn2c(=O)[nH]c3ccccc32)s1,generated,99.9
ABLZ,0,CCCCCCCCCCCC(O)C(O)COP(=O)(O)OCC1OC(n2ccc(=O)[nH]c2=O)C(O)C1O,generated,99.9
ABMB,0,COc1ccc(CNC(=O)CC2C=CC(C)(C)C2)cc1OC,generated,99.9
ABOC,0,COc1cc(C(=O)Nc2nnc(C(N)=O)s2)cc(OC)c1OC,generated,99.9
ABPG,0,CN1CCC(C(=O)NCC2CN3CCCCC3CO2)CC1=O,generated,99.9
ABQA,0,CC(=O)NC(C)C(=O)NCC1(c2cccc(F)c2)CCCC1,generated,99.9
ABRH,0,CC(C)(C)n1c(Cc2ccccc2)nc2ccccc2c1=O,generated,99.9
ABTK,0,CN(C)CCCNC(=O)C(=O)Nc1ccc(Nc2nc3cc(N4CCNCC4)ccc3nc2-c2ccc(C(F)(F)F)cc2)cc1,generated,99.9
ABTN,0,COc1ccccc1-c1cc(=O)c2cc(C)ccc2o1,generated,99.9
ABTR,0,CN(C)C1Cc2ccccc2CN1C(=O)C1CCN(c2ncccn2)CC1,generated,99.9
ABTT,0,COCCCNC(=O)C(NC(=O)c1cnccn1)c1ccc(O)cc1,generated,99.9
ABTU,0,COc1ccc(NC(=O)CCC(=O)N2CCCCC2C)cc1Cl,generated,99.9
ABTW,0,Cc1ccc(F)c(S(=O)(=O)N(C)C(C)C(=O)NC(C)(C)C)c1,generated,99.9
ABTY,0,CC(C)(C)Cc1cc(-c2ccc(OC(F)F)cc2)n(Cc2ccc(C(=O)NC(C=O)C(O)C(O)C3CCCCC3)cc2)n1,generated,99.9
ABUA,0,CCC(C)C(NC(=O)C(CC1CCCCC1)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(NC(=O)C(N)CC(C)C)C(C)C)C(=O)NC(CO)C(=O)NC(CCCNC(=N)N)C(=O)OC,generated,99.9
ABUB,0,CC(C)c1cc(C(=O)NC2(c3ccc(F)cc3)CC2)on1,generated,99.9
ABUD,0,Cc1cc(C(=O)N2CCC2(C)c2ccc(C(N)=O)cc2)c(C)o1,generated,99.9
ABUE,0,COC(=O)c1cccc(S(=O)(=O)N2CC(C)OC(C)C2)c1,generated,99.9
ABUH,0,Cc1ccc(C)c(NC(=O)COC(=O)C23CC4CC(CC(C4)C2)C3)c1,generated,99.9
ABUI,0,COC(=O)c1ccc(CN2CCN(C(=O)c3ccco3)CC2)cc1,generated,99.9
ABUJ,0,CCOc1ccc(CCNC(=O)CCc2cc(F)cc(F)c2)cc1,generated,99.9
ABUK,0,CC(C)CC(=O)Nc1ccc(N2CCN(Cc3ccccc3)CC2)cc1,generated,99.9
ABWL,0,CN(C)C(=O)CN1CCN(C(=O)COc2cccc(Cl)c2)CC1,generated,99.9
ABWU,0,CNC(=O)c1ccc(CNC(=O)c2ccc(F)cc2)cc1,generated,99.9
ABXC,0,Cc1cc(C)n(-c2ccc(NC(=O)c3cn[nH]c3)cc2)n1,generated,99.9
ABXL,0,O=C(Nc1nnc(SCc2ccccc2)s1)c1ccc(Cl)cc1,training,99.9
ABXY,0,Cc1n[nH]c(NC(=O)Cc2csc(-c3ccccc3)n2)n1,generated,99.9
ABYJ,0,Cc1cc(NC(=O)C(C)Oc2ccc(F)cc2F)c(C)s1,generated,99.9
ABYN,0,CC(C)(N)c1ccc(CSc2nnc(-c3ccccc3)o2)cc1,generated,99.9
ABYP,0,Cc1ccc(NS(=O)(=O)c2ccc3c(c2)OCCO3)cc1C,generated,99.9
ACBF,0,Cc1ccc(OCCN(C)C(=O)NC(C)c2ccccn2)cc1,generated,99.9
ACBG,0,CCOC(=O)c1cccc(NC(=O)c2ccc(C(=O)OC)cc2)c1,generated,99.9
ACBI,0,COc1ccc(OC)c(NC(=O)c2ccc(-n3ccnc3)nc2)c1,generated,99.9
ACBK,0,CC(=O)Nc1cccc(NC(=O)NC(C)c2ccc(F)cc2)c1,generated,99.9
ACBM,0,CC(=O)Nc1cccc(NC(=O)C(=O)c2c[nH]c3ccccc23)c1,generated,99.9
ACCR,0,CC1(CO)C(O)CCC2(C)C1CCC1(C)C2CC=C2C3=CC(CC(=O)OCc4ccccc4)C(=O)C3(C(=O)CO)CCC21C,generated,99.9
ACCU,0,Cc1noc(C)c1C(=O)N(C)CC(O)c1ccccc1F,generated,99.9
ACCW,0,CCC1CCCCN1C(=O)CNC(=O)Nc1ccccc1C(N)=O,generated,99.9
ACDA,0,CNC(=O)C1CC=CCCN(C(=O)c2ccccc2)C1,generated,99.9
ACDG,0,O=C(CC1C=CCC1)N1CCC(C(=O)N2CCOCC2)CC1,generated,99.9
ACDL,0,O=C(NCCC1=CCCCC1)Nc1cccc(CC2=CCN(c3ccccn3)CC2)c1,generated,99.9
ACDS,0,CC(C)c1ccc(C(=O)OCC(=O)N2CCCC2)cc1,generated,99.9
ACEE,0,CC(=O)Nc1ccc(CNC(=O)C(C)Sc2nncn2C)cc1,generated,99.9
ACEG,0,COC(=O)c1cccc2c(NCc3ccc(OC)cc3)n[nH]c12,generated,99.9
ACEJ,0,Cc1ccc(NC(=O)COC(=O)c2cc3ccc(Cl)cc3o2)cc1,generated,99.9
ACER,0,Cc1noc(C)c1S(=O)(=O)N1CCN(Cc2cccnc2)CC1,generated,99.9
ACEX,0,COc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1OCC(N)=O,generated,99.9
ACFQ,0,COc1ccc2nc(C)cc(-c3ccc(C(C)(C)C(=O)O)cc3)c2c1,generated,99.9
ACGX,0,CC1CN(C(=O)Nc2ccc(F)cc2)CC(C)O1,generated,99.9
ACHH,0,Cc1ccccc1CNC(=O)c1cn(C)nc1C(C)(C)C,generated,99.9
ACIJ,0,Cc1cccc(CNC(=O)c2ccc(C(F)(F)F)nc2)c1,generated,99.9
ACJD,0,Cc1ccc(Cl)cc1NC(=O)Cn1ccc(=O)[nH]c1=O,generated,99.9
ACJL,0,CC(C)CCC(=O)N1CCN(Cc2ccc(OC(F)(F)F)cc2)CC1,generated,99.9
ACNM,0,Cc1ccc2nc(N3CCCC(c4ccccc4)C3)sc2c1,generated,99.9
ACOB,0,COc1cccc(-c2cc(C(=O)Nc3nccs3)on2)c1,generated,99.9
ACOC,0,CN(C)CCN(C)C(=O)c1cccc(NC(=O)C(N)c2ccccc2)c1,generated,99.9
ACOF,0,Cc1ccc(NC(=O)CCC(=O)Nc2ccccc2C(C)C)cc1,generated,99.9
ACOG,0,CC(C)Oc1cccc(CC(=O)N2CCCC(C(N)=O)C2)c1,generated,99.9
ACOH,0,CCN(CC)C(=O)C1CCN(C(=O)c2cc3c(cn2)CCC3)CC1,generated,99.9
ACOK,0,CCCCSc1nc2c(c(NC(=O)c3cc(C)no3)n1)CCCC2,generated,99.9
ACOP,0,Cc1ccc(C(=O)OCC(=O)Nc2ccc(OC(C)C)c(F)c2)cc1,generated,99.9
ACOU,0,CC(C)(C)c1cc(C(=O)Nc2ccc(F)c(F)c2)n(CCO)n1,generated,99.9
ACOZ,0,COc1cccc2cc(C(=O)NC(C)c3ccncc3)oc12,generated,99.9
ACPF,0,Cc1ccc(S(=O)(=O)N(C)C(C)c2cccs2)cc1,generated,99.9
ACPH,0,COC(=O)CC(NC(=O)C1(c2ccccc2)CCCC1)c1ccc(NS(C)(=O)=O)cc1,generated,99.9
ACPP,0,COCCN(Cc1cnccn1)C(=O)c1cc(C)n(C(C)(C)C)c1C,generated,99.9
ACPU,0,COC(=O)c1ccc(N2C(=O)c3ccccc3S2(=O)=O)cc1,generated,99.9
ACPZ,0,COc1ccc(NC(=O)CN2C(=O)C(C)Oc3ccccc32)cc1,generated,99.9
ACQC,0,Cc1cccc2c(=O)n(CC(=O)NCCc3ccccc3)cnc12,generated,99.9
ACQD,0,CC1CC(C)CN(C(=O)c2cc(-c3cccs3)n[nH]2)C1,generated,99.9
ACQH,0,CC1(c2ccc(C(=O)NCC3CCCO3)cc2)CCCCC1,generated,99.9
ACQM,0,O=C(NCc1ccco1)c1ccc(-n2cccn2)c(F)c1,generated,99.9
ACQQ,0,O=C(Nc1cccc(Cl)c1)c1ccc(NC(=O)N2Cc3ccccc3C2)cc1,generated,99.9
ACRB,0,CCCCc1cc(Cl)ccc1NC(=O)c1ccc(C[S+]([O-])c2ccccc2)nc1,generated,99.9
ACRC,0,CCOC(=O)C(C)(C)CNC(=O)c1cc2cc(Cl)ccc2[nH]c1=O,generated,99.9
ACRE,0,Cc1ccc(-c2csc(NC(=O)c3cccs3)n2)cc1,generated,99.9
ACRG,0,Cc1cc(C)cc(NC(=O)c2cc(C)oc2C)c1,generated,99.9
ACRX,0,O=C(O)CN1CCCC2(CCCN2C(=O)C2CC2)C1,generated,99.9
ACRY,0,COc1ccc(NC(=O)COc2ccc(S(C)(=O)=O)cc2)cc1,generated,99.9
ACSG,0,CN(C)S(=O)(=O)c1ccc(OCCC(=O)NCc2ccccc2)cc1,generated,99.9
ACSH,0,CCOc1ccc(NC(=O)N2CCN(CC(=O)NC(C)(C)C)CC2)c(OC)c1,generated,99.9
ACSK,0,COc1cccc(C(=O)NC(C)c2nc(-c3ccccn3)no2)c1,generated,99.9
ACSU,0,CC(C)C(=O)N1CCCCC1C(=O)Nc1ccc(N2CCCC2)cn1,generated,99.9
ACSV,0,COc1ccc(C(=O)C2CCCN2C(=O)c2ccccc2)cc1,generated,99.9
ACSX,0,O=C1CN(C(=O)c2ccc3ccccc3c2)c2ccccc2N1,generated,99.9
ACTH,0,CN1CCc2c(cc(-c3ccc(OC4CCN(CC(=O)O)CC4)cc3)cc2C2CC2)C1,generated,99.9
ACTW,0,Cc1cccc(NC(=O)C2CCN(C(=O)c3ccoc3)CC2)n1,generated,99.9
ACUB,0,Cc1cc(C)c(CNC(=O)COc2cccc3ccccc23)c(=O)[nH]1,generated,99.9
ACUE,0,CC1C(C(=O)NCCC2=CCCCC2)CCCN1S(=O)(=O)c1cccc2ncccc12,generated,99.9
ACUZ,0,CCOCCc1nc2sc3c(c2c(=O)[nH]1)CCC(C)C3,generated,99.9
ACWB,0,Cc1ccc(C)c(OCC(=O)Nc2ccccc2C(N)=O)c1,generated,99.9
ACWH,0,CC(C)(C)OC(=O)N1CCC2(C1)OCC(=O)N2Cc1ccco1,generated,99.9
ACWT,0,Nc1cc(Oc2ccc3c(C(=O)Cc4c(Cl)cccc4Cl)cc(=O)oc3c2)ccc1NC(=O)C=CCOCc1ccccc1,generated,99.9
ACXC,0,CC(=O)c1ccc(OCC(=O)Nc2ccc3nc(N4CCOCC4)ccc3c2)cc1,generated,99.9
ACXD,0,COc1ccc(-c2cc(-c3nc(-c4ccc(F)cc4)cs3)no2)cc1,generated,99.9
ACXF,0,Cc1ccc(C(=O)N2CCN(C3CCN(Cc4cccc(Cl)c4)CC3)CC2)cc1-c1ccc(C#Cc2ccccc2)cc1,generated,99.9
ACXG,0,CCCCCCCCCCCCCCCCC(=O)Nc1cccc(NC(=O)Nc2ccc(Cl)cc2)c1,generated,99.9
ACXH,0,CN(C)c1ccc(Cc2n[nH]c3ccc(NC(=O)c4cccc(C#N)c4)cc23)cc1,generated,99.9
ACXS,0,O=C(Nc1cccc(F)c1)NC1CCN(c2ccccc2)C1=O,generated,99.9
ACYD,0,Cc1ccc(C(=O)Nc2ccc(-n3ccnn3)nc2)cc1F,generated,99.9
ACYW,0,CC(C)c1ccc2c(c1)nc(CCC(=O)Nc1ccccc1)n2C,generated,99.9
ACYX,0,Cc1cc(C(=O)N2CCN(C(=O)c3cc(C)on3)CC2)c2ccccc2n1,generated,99.9
ACZA,0,Cc1cc(C)c(NC(=O)CCc2nnc3n2CCC3)c(C)c1,generated,99.9
ACZT,0,COc1cccc(C=CC(=O)C(Cc2ccc(O)cc2)NC(=O)C=Cc2ccc(OC)c(OC)c2)c1,generated,99.9
ADAW,0,COc1ccc(C(C)NC(=O)c2ccccc2OC)cc1Cl,generated,99.9
ADBE,0,CNC(=O)c1cc(OC)c(SC)cc1C(=O)Nc1ccccc1,generated,99.9
ADBI,0,Cc1cc(-c2nc3ccccc3s2)ccc1OCC(=O)Nc1ccc(C2CC2)cc1,generated,99.9
ADBZ,0,COc1ccc(C2C(C#N)=C(N)Oc3ccc(OS(N)(=O)=O)cc32)cc1,generated,99.9
ADCD,0,NC(=O)Cc1ccc(NC(=O)NCC2CCc3ccccc32)cc1,generated,99.9
ADCO,0,CC(C)(C)C(=O)Nc1ccc(Cl)cc1S(=O)(=O)N1CCCC1,generated,99.9
ADCX,0,O=C(O)C=Cc1ccc(NC(=O)CSCC(=O)c2cccc(C(=O)O)c2)c(OCc2ccccc2)c1,generated,99.9
ADEP,0,Cc1ccc(CN2CCC(C(=O)NC(C)(C)C)CC2)c(C)c1,generated,99.9
ADGH,0,Cc1ccc(NC(=O)N2CCC(Oc3cccnn3)CC2)cc1C,generated,99.9
ADGK,0,CC(=O)N(CC1CCCO1)C(C(=O)NN1CCCC1)c1ccccc1,generated,99.9
ADKW,0,COc1ccc(C=CC(=O)C=Cc2ccc(OCC(=O)N3CCN(c4ccccc4)CC3)c(OC)c2)cc1OC,generated,99.9
ADKX,0,COc1ccc(F)cc1-c1cc(CC(=O)NC(Cc2ccc(-c3ccccc3)cc2)C(=O)O)nc(N)n1,generated,99.9
ADLA,0,CCCCC(=O)OCC1CC(OC(=O)Cc2ccccc2)C(OC(C)=O)C(OC(=O)C(Cc2ccc(OC(C)=O)cc2)NC(=O)OC(C)(C)C)C1OC,generated,99.9
ADLB,0,CC(C)CC(NC(=O)C(NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)C(N)Cc1ccccc1)C(=O)O)C(=O)CC(C)(C)C,generated,99.9
ADLD,0,N#Cc1ccc(-n2nnc(C(=O)NC3CCCC3)c2C(F)(F)F)cc1,generated,99.9
ADLE,0,CC(=O)c1ccc(NC(=O)c2cccc(N3CCCC3=O)c2)cc1,generated,99.9
ADLH,0,Cc1ccc(C)c(NC(=O)c2cccc(C(=O)N(C)C)c2)c1C,generated,99.9
ADLI,0,Cc1ccc(S(=O)(=O)NCCC(=O)Nc2ccc(Cl)cc2)cc1,generated,99.9
ADLK,0,COc1cccc(C(=O)Nc2ccc(N3CCCC3=O)cc2)c1O,generated,99.9
ADLL,0,Cc1ccc(NS(=O)(=O)c2ccc(NC(=O)c3ccc(-n4cccn4)cc3)cc2)c(C)c1,generated,99.9
ADLN,0,N#Cc1ccc(C(=O)Nc2ccc3c(c2)COC3)cc1,generated,99.9
ADLQ,0,Cc1cc(C(=O)NC(C)c2ccc3c(c2)OCO3)ccc1C(C)C,generated,99.9
ADLS,0,COC(=O)c1ccc(C(C)NC(=O)c2ccc(C(F)(F)F)cc2)cc1,generated,99.9
ADLT,0,Cc1cc(C(=O)N2CCCCC2)cc(S(N)(=O)=O)c1C,generated,99.9
ADLU,0,CC(C)(C)NC(=O)CNc1ncnc2oc3c(c12)CCCC3,generated,99.9
ADLW,0,COc1ccc(CCNC(=O)c2ccc(C)c(C)c2)c(OC)c1,generated,99.9
ADLX,0,Cc1ccc(NC(=O)c2ccccc2S(C)(=O)=O)cc1F,generated,99.9
ADLY,0,CC(C)CC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCC(N)=O)C(N)=O,generated,99.9
ADLZ,0,CCc1ccccc1N1CCN(CCC(=O)NCC(C)(C)C)CC1,generated,99.9
ADMO,0,COC(=O)C1(C)CCCC2(C)C3C4C(=O)C(C)(CCC12)C3CCC4C(C)(C)O,generated,99.9
ADMR,0,CS(=O)(=O)N1CCC(C(=O)NCC2CCCO2)CC1,generated,99.9
ADNO,0,CCOc1ccc(NC(=O)Cc2csc(CC)n2)cc1,generated,99.9
ADNX,0,C=C(C)CN1CCN(C(=O)c2ccc(C)o2)CC1,generated,99.9
