id,gen,smile,source,weight,score
AAAS,0,CC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4C(C)C(C)CCC4(C(=O)O)CCC23C)C1(C)C,training,498.7480000000004,99.9
AAAZ,0,O=S(=O)(c1cccc(F)c1)N1CCc2ccccc2C1,training,291.34700000000004,99.9
AAAP,0,CC(C)C(NC(=O)CC(O)(C(=O)O)c1ccccc1)C(c1ccccc1)c1ccccc1,generated,431.5320000000001,99.9
AABB,0,Cc1noc(CCCn2ccc(CN3CCCC3)n2)n1,generated,275.35599999999994,99.9
AABD,0,CC(CNC(=O)c1cc(F)ccc1F)c1ccccc1Cl,generated,309.74300000000005,99.9
AABE,0,CCCCCCCCCCCCCCC(O)C(O)C(O)CCC(O)CCCCCCCCCC,generated,486.82200000000046,99.9
AABF,0,CCCCCCCCCCCCCCCCCCCCCCCCCCCNC(C)=O,generated,437.7970000000003,99.9
AABG,0,CNC(=O)C=Cc1ccc([S+]([O-])Cc2ccccc2)cc1,generated,299.395,99.9
AABA,0,O=c1nc(N2CCOCC2)oc2cc3c(cc12)OCCO3,generated,290.2750000000001,99.9
AABH,0,CCCCCCCCCCCCCCCCC[n+]1ccc(N)c(OC)c1,generated,363.61,99.9
AABC,0,Cc1cccc(C)c1N1CCC(C(=O)NCCNC(=O)c2ccco2)CC1,generated,369.46500000000015,99.9
AAAU,0,Cc1ccc(Oc2cc(C)[nH]c(=O)c2C#N)cc1,generated,240.262,99.9
AABK,0,CCOC(=O)C=C(C)CCC=C(C)CCC=C(C)CCC=C(CC)COC,generated,376.5810000000002,99.9
AACF,0,CN(C)C(=O)CNC(=O)NCc1ccc(-c2cccs2)cc1,generated,317.414,99.9
AABN,0,O=C(CNS(=O)(=O)Cc1cccs1)NCC(F)(F)F,generated,316.32599999999996,99.9
AABO,0,Cc1ccccc1C(=O)C=Cc1ccc(Cl)c(Cl)c1,generated,291.177,99.9
AABP,0,CCC(C)(C)NC(=O)C(C)Sc1nc(C)cc(C)n1,generated,281.425,99.9
AABQ,0,O=C(Nc1ccc(-n2cnnn2)cc1)Nc1cccc(Cl)c1,training,314.736,99.9
AABR,0,COc1ccc(-c2ccc(S(=O)(=O)CC(C)C)cc2)cc1OC,generated,334.437,99.9
AABS,0,CC(C)NC(=O)CNC(=O)Cc1cnc2ccccc2n1,generated,286.33500000000004,99.9
AABM,0,CCCCCCCCCCCCCCCCCCCCCCCCCCCCOCC(O)C(O)COP(=O)([O-])OCCOCCOCCOCCCCCCCCCCCCCCCC,generated,950.4379999999991,99.9
AABT,0,CC(=O)NC(C(=O)NCCNC(=O)C(C)C)C(C)C,generated,271.361,99.9
AABV,0,O=C(CCCc1cc(F)cc(F)c1)NCC1CCCO1,generated,283.31800000000004,99.9
AABW,0,CC(C)N1CCN(CC(O)COc2ccc(F)c(Cl)c2)CC1,generated,330.8310000000001,99.9
AABX,0,O=S(=O)(CC1CCCC1)Nc1ccc2[nH]ncc2c1,generated,279.365,99.9
AABY,0,Cc1cc(C)c(OCc2cc(C(C)(C)C)no2)c(C)c1,generated,273.376,99.9
AABZ,0,CC1CCCC(=NNc2ccnc(-c3ccccc3F)n2)C1,generated,298.36500000000007,99.9
AAFM,0,Cc1cc(NC(=O)COC(=O)COc2ccc(F)cc2)no1,generated,308.265,99.9
AABU,0,CCCc1cc(=O)[nH]c(NCC(C)NC(C)=O)n1,generated,252.31799999999998,99.9
AACE,0,CC(=NNC(N)=S)c1ccc(C(=O)c2ccccc2)cc1,generated,297.38300000000004,99.9
AABL,0,CC(CNC(=O)NCCN1CCOCC1)NC(=O)OC(C)(C)C,generated,330.4290000000001,99.9
AACB,0,N#Cc1ccc(CN(Cc2ccccc2)Cc2cn(Cc3ccccc3)nn2)cc1,generated,393.49400000000014,99.9
AACG,0,CCCCCCCCCCCCCCCCCCCC(=O)NC(C(=O)O)C(C)OP(=O)(O)O,generated,493.62200000000007,99.9
AACH,0,Cc1cnc(CCC(=O)Nc2cc(C)sc2C)s1,generated,280.418,99.9
AACI,0,Fc1cccc(Nc2nnc(SCc3ccccc3)s2)c1,generated,317.414,99.9
AACJ,0,N#Cc1cc([N+](=O)[O-])ccc1[S+]([O-])c1ccc(F)cc1,generated,290.27500000000003,99.9
AACD,0,CC1CCCN(S(=O)(=O)N2CCC(n3cncn3)CC2)C1,generated,313.42700000000013,99.9
AACK,0,CC(C)OC(=O)c1csc(NC(=O)C(C)(C)C)n1,generated,270.354,99.9
AACA,0,CC(C)c1ncc(CNC(=O)NCC2CCCCC2)c(=O)[nH]1,generated,306.41,99.9
AACM,0,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)NCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC,generated,780.2729999999996,99.9
AACO,0,CN(C)c1ccc(-c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)cc1,generated,308.337,99.9
AACP,0,Cc1cc(C)c(C)c(SCC(=O)NCCc2ccsc2)c1C,generated,333.522,99.9
AACQ,0,N#CC(=Cc1ccc(OC(F)(F)F)cc1)C1CCCCC1,generated,295.30400000000003,99.9
AACR,0,Cc1nc(NC(=O)NCCC(=O)NC(C)C)cs1,generated,270.358,99.9
AACL,0,CC1(C)CCC(CN2CCN(C3CCCC3)CC2)CC1,generated,278.484,99.9
AACC,0,Cc1ccc(C(C)NS(=O)(=O)N(C)C(C)C)cc1,training,270.39799999999997,99.9
AACN,0,Oc1ccccc1Cc1nc(-c2ccncc2)n[nH]1,generated,252.27700000000002,99.9
AAAT,0,CCOc1ccc(C(=O)N2CCC(c3cccc(C(C)=O)c3)CC2)cn1,generated,352.4340000000001,99.9
AACS,0,COC1CCC(C(O)C2CCC(CCN3COC(CF)C3)C2)CC1,generated,343.4830000000001,99.9
AACT,0,COc1cc(OCCCCCC(=O)O)ccc1OC(C)=O,generated,296.319,99.9
AACX,0,CCCCCCCCCCCCCCCCCCCCOCC1CCC(O)OC(OCC(=O)C(C)(C)C)C1,generated,540.8700000000002,99.9
AACY,0,O=C(O)Cc1ccc(-c2noc(-c3ccc(O)cc3)n2)cc1,generated,296.282,99.9
AACZ,0,NC(=O)c1ncc(NC(=O)CCc2ccc[nH]2)s1,generated,264.31,99.9
AADA,0,COc1ccc(C(=O)COC(=O)c2cccc3ccccc23)cc1,generated,320.34400000000005,99.9
AADB,0,Cc1cccc(OCC(=O)NCC(=O)NC2CCCCC2C)c1C,generated,332.44400000000013,99.9
AADL,0,Cc1nc(C(=O)NC2CCC(O)CC2)c(C(C)(C)C)s1,generated,296.436,99.9
AACW,0,CC(=O)NC(CSCc1ccc(F)cc1)CN1CCN(C)CC1,generated,339.4800000000002,99.9
AADC,0,COCCNC(=O)C(C#N)=Cc1ccc(C(F)(F)F)cc1,generated,298.26399999999995,99.9
AADF,0,O=[N+]([O-])C(c1ccccc1)n1nnc(CSc2ccccc2)n1,generated,327.369,99.9
AADG,0,CC(C)(C)c1nnc(SCC(=O)NC2CC2)c(=O)[nH]1,generated,282.36899999999997,99.9
AADH,0,CC(C)(C)OC(=O)N1CCC(C(=O)NCc2ncc[nH]2)CC1,generated,308.38200000000006,99.9
AADI,0,CN(C)CCCNc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc(C(F)(F)F)n1,generated,419.4330000000001,99.9
AADJ,0,CC1CN(CC(=O)N2CCCCC2)CC(O)C1O,generated,256.34599999999995,99.9
AADD,0,COc1ccc(Nc2cc(-c3ccccc3)nc(N)n2)cc1,generated,292.342,99.9
AADE,0,CCC(C)c1ccc(OC(=O)C2Cc3ccccc3O2)cc1,generated,296.366,99.9
AACV,0,CC(=O)c1ccc(C#Cc2ccc(-c3ccccc3)cc2)cc1,generated,296.369,99.9
AADK,0,CC(C)Oc1ccc(-c2nnc(-c3ccco3)o2)cc1,generated,270.28799999999995,99.9
AAEC,0,Cc1ccc(C(O)c2ccc3oc(=O)ccc3c2)cc1,generated,266.296,99.9
AADP,0,Cn1cc(-c2ccc(-n3cc(C(F)(F)F)nn3)cc2)ccc1=O,generated,320.274,99.9
AADQ,0,CCCCc1cc(NC(=O)CCc2ccccc2)nc(C)n1,generated,297.40200000000004,99.9
AADR,0,CC(C)(C)C(=O)N1CCC(S(=O)(=O)N2CCCCC2)CC1,generated,316.4670000000002,99.9
AADS,0,CC1CCCN(S(=O)(=O)Cc2cccc(OC(F)F)c2)C1,generated,319.37300000000005,99.9
AADT,0,C=C1C(O)CC(=C(c2ccccc2)c2ccc(Cl)cc2)C2CCC1O2,generated,352.86100000000016,99.9
AADN,0,O=C(NCc1ccco1)c1ccn(-c2ccccc2)n1,generated,267.288,99.9
AADM,0,CC(=O)N(C)c1ccc(NC(=O)C(C)OC(=O)C2CCCC2)cc1,generated,332.40000000000015,99.9
AADU,0,Cc1cc(C)c(CNC(=O)NCc2ccc(Cl)cc2)c(C)n1,generated,317.82000000000005,99.9
AADX,0,COc1ccc(NC(=O)CCc2n[nH]c(C)c2C(F)(F)F)cc1,generated,327.306,99.9
AADY,0,Cc1nc2ccccc2n1CC(=O)N1CCC(C)CC1C,generated,285.39099999999996,99.9
AADZ,0,CCCCCCCCCCCCCC(=O)NN=C(S)N(CCCC)Cc1ccccc1,generated,447.7330000000002,99.9
AAEA,0,Cc1csc(C2CCN(C(=O)NC3CCS(=O)(=O)C3)CC2)n1,generated,343.47400000000016,99.9
AAEB,0,CC1(C)CCCCC1OC(=O)c1ccc(-n2ccnc2)cc1,generated,298.386,99.9
AADV,0,O=C(Nc1cccc(-c2ncc[nH]2)c1)Nc1ccccc1O,generated,294.314,99.9
AADW,0,Cc1ccc(C(=O)OC(C)C(=O)Nc2cn[nH]c2)cn1,generated,274.28000000000003,99.9
AAED,0,O=[N+]([O-])c1ccc(NCc2ccccc2[N+](=O)[O-])cc1,generated,273.248,99.9
AAEF,0,CC(C)CCN(C)C(=O)Nc1nc(-c2ccncc2)cs1,generated,304.41900000000004,99.9
AAEY,0,CN1C(=O)C(=Cc2ccc(-n3cccc3)cc2)SC1=S,generated,300.408,99.9
AAEI,0,CNC(=O)CN1CCN(C(=O)NCCc2c(C)nn(C)c2C)CC1,generated,336.4400000000001,99.9
AAEJ,0,CC(C)C(CNC(=O)N1CCOCC1)c1ccc2ccccc2c1,generated,326.44,99.9
AAEK,0,CC(=O)Nc1cccc(-c2cnn(C(C)(C)C)c2)c1,generated,257.337,99.9
AAEL,0,Cc1ccc(CC(=O)NCc2c[nH]nc2-c2ccccc2)s1,generated,311.41,99.9
AAEV,0,C=C(C(=O)OCC)C(C)=CC(=O)OCC1OC(C(=O)OCC(C)C)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,generated,556.5610000000003,99.9
AAEM,0,Cc1ccc(CN(C)C(=O)COc2ccc(Cl)cc2)o1,generated,293.75,99.9
AAEH,0,CN(C)c1ccc(C(C#N)C(=O)Cc2ccc(F)cc2F)cc1,generated,314.3349999999999,99.9
AAEO,0,COc1ccc(-c2cnc3cc(-c4ccncc4)ccc3c2)cc1,generated,312.37200000000007,99.9
AAEQ,0,CC(C)c1nc(CNC(=O)Nc2ccc(F)cc2)cn1C,generated,290.34200000000004,99.9
AAER,0,Cc1cc(NC(=O)Nc2cccc(C#N)c2)cc(C)n1,generated,266.30400000000003,99.9
AAES,0,O=C(CSc1nc2ccccc2c(=O)[nH]1)NCc1ccco1,training,315.35400000000004,99.9
AAET,0,CC(C)c1noc(-c2ccc(C(C)(C)C)s2)n1,generated,250.367,99.9
AAEN,0,Cc1ccc(OC(=O)c2ccnc(S(N)(=O)=O)c2)cc1,generated,292.31600000000003,99.9
AACU,0,CC(C)CNC(=O)Nc1nnc(C(F)(F)F)s1,generated,268.26399999999995,99.9
AAEP,0,O=c1[nH]c2ccc(-c3cccc(C(F)(F)F)c3)cc2o1,generated,279.217,99.9
AAEG,0,COC(=O)NC(C(=O)NC(C)S(=O)(=O)c1ccccc1)C(C)C,generated,342.41700000000003,99.9
AAEU,0,CC1(C)CCOCCC1NC(=O)Nc1cnn(CC(F)F)c1,generated,316.352,99.9
AAEW,0,O=C(CC1CCCCC1)Nc1ccc(OC(F)(F)F)cn1,generated,302.296,99.9
AAEZ,0,CC1CC(C)CN(C(=O)CSc2nc(Cc3ccccc3)no2)C1,generated,345.4680000000001,99.9
AAFA,0,Cc1ccc(Oc2cc3c(cc2Cl)C(=O)c2ccccc2C3=O)cc1,generated,348.7850000000001,99.9
AAFB,0,CC(C)(C)OC(=O)NCCCNC(=O)C1CCCN1S(C)(=O)=O,generated,349.45300000000003,99.9
AAFC,0,CC(C)N(Cc1ccccc1)Cc1ccc(-n2cncn2)cc1,generated,306.413,99.9
AAFD,0,O=C(Cc1ccc(Cl)cc1)NCC(O)c1cccc(Cl)c1,generated,324.207,99.9
AAEX,0,CCc1onc(C)c1NC(=O)NCc1ccc(=O)[nH]c1,generated,276.29599999999994,99.9
AAFE,0,Cc1ncn(C(=O)CCc2ccc(C#N)cc2)c1C,generated,253.305,99.9
AAFG,0,Cc1noc(C)c1CCCNC(=O)C(C)Sc1cccnc1,generated,319.43,99.9
AAFH,0,CCC(C)NC(=O)COC(=O)CCC(=O)N1CCCCC1,generated,298.3830000000001,99.9
AAFI,0,O=C(CC12CC3CC(CC(C3)C1)C2)NCc1ccccn1,training,284.40299999999996,99.9
AAFJ,0,CCc1cccc(C(C)NC(=O)NCc2noc(CC)n2)c1,generated,302.37800000000004,99.9
AAFK,0,CCCCCCCCCCCCCC=CC(CNC(=O)CCc1cn(CCCC)nn1)C(C)C,generated,474.77800000000036,99.9
AAFL,0,CC(C)(C)n1c(N)nnc1SCC(=O)NCC1CCCO1,generated,313.42700000000013,99.9
AAFF,0,CC(C)=CCCC(C)=CCC1(C)C=C(Cl)C(=O)C=C1[N+](=O)[O-],generated,323.82000000000005,99.9
AAEE,0,CC(C)C(CO)NCc1ccccc1-c1nc2ccccc2[nH]1,generated,309.413,99.9
AAFN,0,CC(=O)NC(C)(C)c1nnc(N2CCCCC2)s1,generated,268.3859999999999,99.9
AADO,0,COc1ccc(C(O)=NNC(=O)c2ccc(O)cc2)cc1OC,generated,316.31300000000005,99.9
AAFO,0,CCOC(=O)CC(C)=NNc1nccc2cc(Cl)ccc12,generated,305.76500000000004,99.9
AAJD,0,CC(C)COc1ccc(CNC(=O)C(C)NC(C)C(=O)O)cc1,generated,322.40500000000003,99.9
AAFR,0,CC1(C)CC(=O)C2CC(C)(CNC(=O)C3CC3)CC2C1,generated,277.40799999999996,99.9
AAFS,0,Nc1cc(SCc2ccc(C(F)(F)F)cc2)nc(N2CCOCC2)n1,generated,370.4000000000002,99.9
AAFT,0,Cc1cc(C(=O)OC(C)C(=O)NC2CCCCC2)on1,generated,280.32399999999996,99.9
AAFU,0,CC(C)c1nnc(C2CCN(C(=O)CCC(F)(F)F)CC2)o1,generated,319.32700000000006,99.9
AAFV,0,CC(C)CN(CC(C)O)CC(C)NS(=O)(=O)Nc1ccc2c(c1)OCO2,generated,387.5020000000001,99.9
AAGF,0,Cc1ccc(COC(=O)c2ccc(NS(C)(=O)=O)cc2)o1,generated,309.3430000000001,99.9
AAFQ,0,O=C(O)c1ccc(-c2cc(Cl)c(O)c(Cl)c2)c(Cl)c1,generated,317.55499999999995,99.9
AAFW,0,O=C(CC1CCCCC1)N1CCC(n2cccn2)CC1,generated,275.3960000000001,99.9
AAFZ,0,CCC(C)Sc1nc(-c2ccccc2)nc(N(C)C)n1,generated,288.4200000000001,99.9
AAGA,0,Cc1sc(=O)n(CCN2CCN(c3ccc(F)cc3)CC2)c1C,generated,335.4480000000001,99.9
AAGB,0,N#Cc1ccc(OCCN2CCN(c3nccs3)CC2)nn1,generated,316.39000000000004,99.9
AAGC,0,CC(C)C(=O)Nc1ccc2c(c1)NC(=O)CS2,generated,250.32299999999998,99.9
AAGD,0,CC(C)(C)OC(=O)NCCNc1c(F)cccc1F,generated,272.29499999999996,99.9
AAFX,0,COc1ccc(C=C2N=C(Nc3cccc(C)c3)S2)cc1,generated,296.39500000000004,99.9
AAFY,0,O=C(CSc1nc(=O)n2ccsc2n1)Nc1ccccc1,generated,318.38300000000004,99.9
AAGX,0,CN(C)c1ccc(NC(=N)NCCc2ccccc2)c([N+](=O)[O-])c1,generated,327.38800000000003,99.9
AAGE,0,O=C(CC(=O)NC1CCCCCC1)Nc1ccc(F)c(F)c1,generated,310.344,99.9
AAGW,0,O=C(CCN1CCOCC1)NCc1coc(-c2ccccc2)n1,generated,315.373,99.9
AAGJ,0,CCCCC(C)(O)c1cc(O)c(O)c(-c2ccc(O)cc2)c1,generated,302.37,99.9
AAGK,0,CC(C)N(C)C(=O)c1ccc(S(=O)(=O)N(C)C)s1,generated,290.40999999999997,99.9
AAGL,0,Cc1ccc(C)c(OS(=O)(=O)c2ccc(C)c(S(N)(=O)=O)c2)c1,generated,355.43700000000007,99.9
AAGM,0,Cc1cc(C(=O)Nc2ccc(N(C)c3ccccc3)cc2)on1,generated,307.35300000000007,99.9
AAGN,0,CC(C)(C)c1n[nH]c(NC(=O)c2ccc(C#N)cc2)n1,generated,269.308,99.9
AAGH,0,CCOC(=O)C(C)NP(=O)(Nc1ccccc1)Oc1ccc(OC)cc1,generated,378.3650000000001,99.9
AAGG,0,CCCC1(C(=O)NN=C(C)Nc2ccc(C#N)cc2)CCCC1,generated,312.4170000000002,99.9
AAGO,0,Cc1cc(CNC(=O)c2cnc(N3CCCC3)nc2)co1,generated,286.335,99.9
AAGR,0,CSc1ncsc1C(=O)NCC(=O)N1CCCCCC1,generated,313.44800000000015,99.9
AAGS,0,O=C(c1ccc(Oc2cccnc2)cc1)n1c2ccccc2c2ccccc21,generated,364.4040000000001,99.9
AAGT,0,CCOC(COc1nc(C)cc(C)n1)c1ccc(-c2ccccc2)cc1,generated,348.4460000000001,99.9
AAGU,0,Cc1ccc(OCc2nnc(CCC3(O)CCCCC3)o2)cc1,generated,316.40100000000007,99.9
AAGV,0,CCOC(=O)CCNC(=O)c1cc(COC)sc1C,generated,285.365,99.9
AAGP,0,O=C(Nc1ncc(Cc2ccc(F)cc2)s1)c1ccccc1,generated,312.369,99.9
AAGQ,0,CC(C)(O)c1nnc(SCc2cn3ccccc3n2)o1,generated,290.34800000000007,99.9
AAGI,0,CC(C)(C)OC(=O)NCC(=O)NCc1ccc(Cl)cc1,training,298.77,99.9
AAGY,0,Cc1cc(OC2CCN(C(=O)Cc3ccc(C)o3)CC2)no1,generated,304.34600000000006,99.9
AAHT,0,Cc1cc(C)cc(OCCn2c(=O)n(C)c(=O)n(CCC(C)C)c2=O)c1,generated,361.4420000000002,99.9
AAHB,0,O=S(=O)(Nc1nc2ccccc2[nH]1)c1cccc(Cl)c1,generated,307.76200000000006,99.9
AAHC,0,CC(C)CCCCCCCCCCCCCCCCC(c1ccccc1)(c1ccccc1)c1ccccc1,generated,510.8500000000001,99.9
AAHD,0,C#CCN1CCN(C(=O)CCC(=O)N2CCN(C)CC2)CC1,generated,306.4100000000001,99.9
AAHE,0,COC(=O)C1CC(=NNC(=O)c2ccccc2C)CCC1=NO,generated,317.34500000000014,99.9
AAHF,0,COC(=O)c1ccc(Nc2nccc(OC)n2)cc1C,generated,273.29200000000003,99.9
AAHG,0,O=C(CCc1ccccc1)NNC(=O)CN1CCOCC1C1CCC1,generated,345.44300000000015,99.9
AAHA,0,CC(C)(C)c1ccc(OCc2nc3ccccc3s2)cc1,generated,297.423,99.9
AAHH,0,CCCCN1C(=O)C(Cl)=C(C(C)C)C1=O,generated,229.70699999999997,99.9
AAHJ,0,O=C(Cc1ccc(Br)cc1)NCCCn1nnc2ccccc21,generated,373.254,99.9
AAHK,0,CC1CCN(C(=O)Cn2nnc(-c3cccc(Cl)c3)n2)CC1,generated,319.7960000000001,99.9
AAHL,0,CC(C)(C)c1nnc(CCCC(=O)Nc2ncccn2)s1,generated,305.407,99.9
AAHM,0,O=C(CN1CCCC1)Nc1cc(-c2cccnc2)no1,generated,272.30800000000005,99.9
AAHN,0,CC(C)(C)c1cccc(C2CC(c3ccc(F)cc3)=NO2)c1,generated,297.373,99.9
AAHO,0,Cc1ccc(Cn2ccnc2NC(=O)Cc2ccc(Cl)cc2)cc1,generated,339.826,99.9
AAHI,0,CC(=O)NC(CC(=O)NCC(C)(C)c1ccccn1)C(C)C,generated,305.422,99.9
AAGZ,0,O=c1ccn(-c2ccc(Cl)cc2)c(=O)n1-c1ccc(F)cc1,generated,316.719,99.9
AAHP,0,Cc1ccc(S(=O)(=O)c2c(Cl)cnnc2Cl)cc1,generated,303.17,99.9
AAHR,0,CS(=O)(=O)NCCC(=O)N1CCCC(OCc2ccccn2)C1,training,341.43300000000005,99.9
AAHU,0,CC(C)(C)C(c1ccccc1)C(C#N)c1nc2ccccc2[nH]1,generated,303.409,99.9
AAHV,0,COC(=O)C=C(SC)S(=O)(=O)c1ccc(C(C)(C)C)cc1,generated,328.4550000000001,99.9
AAHW,0,Cc1ccc(CNC(=O)C(C)CCC(=O)N(C)C)s1,generated,282.409,99.9
AAHX,0,O=C(NCCS(=O)(=O)NCc1ccco1)C1CCOC1,generated,302.35200000000015,99.9
AAHY,0,CCc1cc(C(=O)Nc2cc(C(C)C)no2)[nH]n1,generated,248.286,99.9
AAHS,0,C=C(C)C(O)CCC(C)=CCCC(C)=CCC(C)C=CC=C(C)CCC(C)=CC(C)C(C)C,generated,454.78300000000024,99.9
AAHQ,0,c1ccc(-c2nsc(CSc3cccc4ncccc34)n2)cc1,generated,335.45700000000005,99.9
AAHZ,0,O=C(NCc1cnn(-c2ccccc2)c1)Nc1nc2ccccc2s1,generated,349.4190000000001,99.9
AAIC,0,O=C(c1ccccc1)c1cccc2[nH]nc(CC3CCCC3)c12,generated,304.39300000000014,99.9
AAID,0,CC(C)C(=O)N1CCC(C(=O)c2ccccc2O)CC1,generated,275.34800000000007,99.9
AAIE,0,CC(NC(=O)c1cccc(O)c1)c1ccccc1S(C)(=O)=O,generated,319.38200000000006,99.9
AAIF,0,Cc1cc(C)n(CC(=O)N2CCC(Oc3cnccn3)CC2)n1,generated,315.37700000000007,99.9
AAIG,0,CN(CC(=O)Nc1nccs1)c1ccc(C(C)(C)C)cc1,generated,303.43100000000004,99.9
AAIA,0,O=C(Nc1nc2ccccc2[nH]1)c1ccc(-n2ccnc2)nc1,generated,304.31300000000005,99.9
AAIB,0,CC(C)(C)c1ccc(Oc2ccc(C(=N)N)cc2)c(NCCCn2ccnc2)c1,generated,391.5190000000001,99.9
AAIH,0,Cc1cc(C)c(C(=O)NC(C)(C)COc2ccccc2C)nn1,generated,313.401,99.9
AAIJ,0,CC(C)NC(=O)Nc1cccc(N2CCCC2C(N)=O)c1,generated,290.367,99.9
AAWG,0,COc1ccc(-n2cc(COc3ccc(C(=O)NS(=O)(=O)c4ccco4)cc3)nn2)cc1,generated,454.4640000000001,99.9
AAIM,0,O=C(Nc1ccc(-c2cccc(C(F)(F)F)c2)cc1)n1ccc(=O)c(=O)[nH]c1=O,generated,403.3160000000001,99.9
AAIN,0,Cc1nc(CN(C)C(=O)c2cc3ccccc3o2)sc1C,generated,300.38300000000004,99.9
AAIO,0,COC(=O)CCC(=O)Nc1cnn(-c2ccccc2F)c1,generated,291.28200000000004,99.9
AAIP,0,Cc1ccc(-c2cnc(NCc3ccc4c(c3)OCO4)nc2)cc1,generated,319.36400000000003,99.9
AAIQ,0,O=C(NCc1cnc2ccc(F)cn2c1=O)c1ccc(F)cc1,generated,315.279,99.9
AAJA,0,COc1cc(C(=O)c2ccc(S(N)(=O)=O)cc2)cc(Br)c1OC,generated,400.25000000000006,99.9
AAIL,0,CC(C)(C)OC(=O)N1CCCN(C(=O)Cc2ccc(F)cc2)CC1,training,336.40700000000004,99.9
AAIR,0,NC(=O)NCC(=O)Nc1ccc(-c2cccc(-n3cccn3)n2)cc1,generated,336.355,99.9
AAIU,0,COc1ccc(NC(=O)NCCc2nnc3ccccn23)cc1,generated,311.34499999999997,99.9
AAIV,0,CCNC(=O)c1nc(NC(=O)c2ccc(F)cc2)oc1C,generated,291.28200000000004,99.9
AAIW,0,CC(NC(=O)C1(C)OCCO1)c1ccc(-c2ccccc2)cc1,generated,311.381,99.9
AAIX,0,COc1cccc(F)c1-c1nnc(SCc2nnc(C)o2)s1,generated,338.38900000000007,99.9
AAIY,0,CC(C)Oc1ccc2cc(-c3ccc(O)c(O)c3)oc2c1,generated,284.31100000000004,99.9
AAIS,0,CC1(C)Cc2ccccc2C(NC(=O)CCc2ccccc2)C1,generated,307.437,99.9
AAIT,0,O=C1C=C(c2cccnc2)CN(CC(=O)Nc2ccc(F)cc2)CC1,generated,339.37000000000006,99.9
AAJS,0,CC(C)OC(=O)Cc1csc2nc(-c3ccccc3)nn12,generated,301.371,99.9
AAIZ,0,COc1ccc(-n2cc(CN(C)C3CCCCC3)nc2C)cc1,generated,313.445,99.9
